PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Medical Office,EAST,1.0,591981,Medical Office,Parking,102673696.0,0.4675227820765311,0.0,0.53247712052754,52,1.0,0.0,0.8787224589978394,0.47702882356021564
Distribution Center,DELRIDGE,1.0,42900,Distribution Center,NONE,436252.5,1.0,0.0,0.0,37,1.0,0.0,1.0,0.0
Other,DELRIDGE,5.0,57952,Adult Education,NONE,3091387.5,0.4769541184985706,0.0,0.5230457197617575,11,1.0,0.0,1.0,0.0
Other,DELRIDGE,1.0,26232,Other - Services,Office,3094090.0,0.29154969635660244,0.0,0.7084503036433976,45,1.0,0.0,0.6961726136017078,0.30382738639829215
Warehouse,DOWNTOWN,1.0,25840,Non-Refrigerated Warehouse,NONE,313528.0938,0.9999997008242584,0.0,0.0,60,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,DOWNTOWN,1.0,45145,Office,NONE,1268459.0,0.40560317676803115,0.0,0.5943968232319689,28,1.0,0.0,0.9704950714364824,0.0
Small and Mid-Sized Office,DOWNTOWN,1.0,70332,Office,Parking,1981115.25,0.9419462093384017,0.0,0.05805366447005039,15,0.6858471250639823,0.31415287493601773,0.6315332992094637,0.36846670079053634
Supermarket / Grocery Store,BALLARD,1.0,45522,Supermarket/Grocery Store,Parking,12250422.0,0.5730178927713674,0.0,0.4269819439689506,22,1.0,0.0,1.0,0.0
Retail Store,NORTHWEST,1.0,20088,Retail Store,Office,326778.6875,0.9999978961296244,0.0,0.0,37,1.0,0.0,0.8004778972520908,0.17423337315810433
Other,GREATER DUWAMISH,5.0,138907,Other,NONE,7837692.5,0.6545680377228374,0.0,0.3454318984828762,27,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,GREATER DUWAMISH,1.0,40657,Office,Parking,2826828.0,0.9701347234426715,0.0,0.02986527655732857,19,1.0,0.0,1.0,0.0
Warehouse,GREATER DUWAMISH,1.0,20200,Non-Refrigerated Warehouse,Office,269016.6875,0.9694863260109097,0.0,0.030514835627064956,116,1.0,0.0,0.9257425742574258,0.07425742574257425
Residence Hall,EAST,1.0,44086,Residence Hall/Dormitory,NONE,3652708.75,0.33370960660359245,0.5257671447251303,0.1405233855559932,112,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,EAST,1.0,54372,Office,Parking,1403820.0,1.0,0.0,0.0,46,0.6170087545059957,0.38299124549400426,1.0,0.0
Other,EAST,1.0,47699,Museum,Parking,14524386.0,0.39813414487882653,0.5941993692538879,0.007666417017559296,65,1.0,0.0,0.9853456047296589,0.0
Medical Office,EAST,1.0,274568,Medical Office,Parking,25311526.0,0.4746957966896188,0.5253041242949951,0.0,71,1.0,0.0,0.8308797820576324,0.4951560269222925
Small and Mid-Sized Office,EAST,1.0,21282,Office,NONE,1245923.75,0.38796997007240613,0.6120296787825098,0.0,60,1.0,0.0,0.9236913823888733,0.0
Other,SOUTHEAST,1.0,41022,Other,NONE,3787648.25,0.9999999339959829,0.0,0.0,95,1.0,0.0,1.0,0.0
Other,DELRIDGE,1.0,28109,Other,NONE,3612526.75,0.92076300888291,0.0,0.07923678350617058,50,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,NORTH,1.0,33580,Office,Parking,409578.4063,1.0,0.0,0.0,31,0.6131625967837999,0.38683740321620014,0.6131625967837999,0.38683740321620014
Warehouse,NORTH,1.0,21936,Non-Refrigerated Warehouse,NONE,113130.0,0.6349067444532839,0.0,0.3650932555467162,39,1.0,0.0,1.0,0.0
Other,NORTH,1.0,30160,Other,NONE,1045838.5,0.23387645415616273,0.0,0.7661230677585498,47,1.0,0.0,0.9993037135278514,0.0
Mixed Use Property,DOWNTOWN,1.0,111137,Office,Multifamily Housing,9546165.0,0.4821260684264309,0.0,0.517873826819461,107,1.0,0.0,0.3863609778921511,0.36781629880237904
Other,Delridge,1.0,40189,Other - Utility,Office,1509292.0,0.6103755933245522,0.0,0.38962440667544784,19,1.0,0.0,0.705342257831745,0.2267535892906019
Small and Mid-Sized Office,DELRIDGE,1.0,66484,Office,Non-Refrigerated Warehouse,3046543.0,1.0,0.0,0.0,28,1.0,0.0,0.7420431983635161,0.27074183262138257
Small and Mid-Sized Office,EAST,1.0,25151,Office,NONE,1356874.75,0.44800745241961354,0.5519925015186553,0.0,57,1.0,0.0,0.9603991888990497,0.0
Hotel,EAST,1.0,35770,Hotel,NONE,2640980.25,0.2291372682548459,0.0,0.770862637083333,88,1.0,0.0,1.0,0.0
Hotel,EAST,1.0,48006,Hotel,NONE,3239754.0,0.47331927053720746,0.0,0.5266807294627925,88,1.0,0.0,1.0,0.0
Mixed Use Property,DOWNTOWN,1.0,29631,Supermarket/Grocery Store,Office,5144392.0,0.5320850355105132,0.0,0.46791477010305593,56,1.0,0.0,0.5399750261550403,0.4387297087509703
Small and Mid-Sized Office,DOWNTOWN,1.0,23472,Office,Other,1625308.625,0.5316553340753976,0.0,0.46834489665001316,27,1.0,0.0,0.881688820722563,0.04537321063394683
Small and Mid-Sized Office,GREATER DUWAMISH,1.0,21315,Office,NONE,2796425.0,0.29342213719302324,0.0,0.7065778628069768,43,1.0,0.0,0.9581984517945109,0.0
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,57110,Office,Parking,2190460.0,0.910536599618345,0.0,0.089463400381655,32,0.7231308002101208,0.2768691997898792,0.6455436876203817,0.4971108387322711
Small and Mid-Sized Office,DOWNTOWN,1.0,34030,Office,NONE,1748629.875,0.8751594730703088,0.0,0.12484059841422988,37,1.0,0.0,1.0,0.0
Restaurant,SOUTHWEST,1.0,20398,Restaurant,Office,9313513.0,0.3734953717249334,0.0,0.6265046282750666,114,1.0,0.0,0.9428375330914796,0.05716246690852044
Distribution Center,GREATER DUWAMISH,1.0,41308,Distribution Center,NONE,1642471.5,0.6421828323961786,0.0,0.3578168631845362,64,1.0,0.0,1.0,0.0
Mixed Use Property,DOWNTOWN,1.0,43878,Multifamily Housing,Office,769771.3125,0.9999995940352739,0.0,0.0,103,1.0,0.0,0.2734855736359907,0.1882948174483796
Other,MAGNOLIA / QUEEN ANNE,1.0,34976,Performing Arts,NONE,873711.125,0.7616613557484461,0.0,0.2383385011836721,104,1.0,0.0,1.0,0.0
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,38255,Non-Refrigerated Warehouse,NONE,985401.8125,0.40777781703136456,0.0,0.5922223732463451,59,1.0,0.0,1.0,0.0
